"Area","MTU","Solar  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","03.01.2022 07:00 - 03.01.2022 07:15 (UTC)","8","6044","36303"
"Germany (DE)","03.01.2022 07:15 - 03.01.2022 07:30 (UTC)","36","6069","36140"
"Germany (DE)","03.01.2022 07:30 - 03.01.2022 07:45 (UTC)","172","6054","36587"
"Germany (DE)","03.01.2022 07:45 - 03.01.2022 08:00 (UTC)","430","6076","36666"
"Germany (DE)","03.01.2022 08:00 - 03.01.2022 08:15 (UTC)","820","6075","36006"
"Germany (DE)","03.01.2022 08:15 - 03.01.2022 08:30 (UTC)","1293","6090","35674"
"Germany (DE)","03.01.2022 08:30 - 03.01.2022 08:45 (UTC)","1768","6105","35639"
"Germany (DE)","03.01.2022 08:45 - 03.01.2022 09:00 (UTC)","2268","5826","35557"
"Germany (DE)","03.01.2022 09:00 - 03.01.2022 09:15 (UTC)","2835","5662","35575"
"Germany (DE)","03.01.2022 09:15 - 03.01.2022 09:30 (UTC)","3348","5652","35838"
"Germany (DE)","03.01.2022 09:30 - 03.01.2022 09:45 (UTC)","3756","5648","35964"
"Germany (DE)","03.01.2022 09:45 - 03.01.2022 10:00 (UTC)","4134","5663","36039"
"Germany (DE)","03.01.2022 10:00 - 03.01.2022 10:15 (UTC)","4408","5656","36167"
"Germany (DE)","03.01.2022 10:15 - 03.01.2022 10:30 (UTC)","4714","5635","36427"
"Germany (DE)","03.01.2022 10:30 - 03.01.2022 10:45 (UTC)","4961","5645","36648"
"Germany (DE)","03.01.2022 10:45 - 03.01.2022 11:00 (UTC)","5097","5638","36951"
"Germany (DE)","03.01.2022 11:00 - 03.01.2022 11:15 (UTC)","5111","5627","36757"
"Germany (DE)","03.01.2022 11:15 - 03.01.2022 11:30 (UTC)","5097","5633","36567"
"Germany (DE)","03.01.2022 11:30 - 03.01.2022 11:45 (UTC)","4907","5634","36109"
"Germany (DE)","03.01.2022 11:45 - 03.01.2022 12:00 (UTC)","4713","5630","36185"
"Germany (DE)","03.01.2022 12:00 - 03.01.2022 12:15 (UTC)","4308","5628","35980"
"Germany (DE)","03.01.2022 12:15 - 03.01.2022 12:30 (UTC)","4134","5639","35769"
"Germany (DE)","03.01.2022 12:30 - 03.01.2022 12:45 (UTC)","3860","5649","35582"
"Germany (DE)","03.01.2022 12:45 - 03.01.2022 13:00 (UTC)","3523","5637","35519"
"Germany (DE)","03.01.2022 13:00 - 03.01.2022 13:15 (UTC)","3217","5640","35163"
"Germany (DE)","03.01.2022 13:15 - 03.01.2022 13:30 (UTC)","2881","5642","34717"
"Germany (DE)","03.01.2022 13:30 - 03.01.2022 13:45 (UTC)","2504","5647","34411"
"Germany (DE)","03.01.2022 13:45 - 03.01.2022 14:00 (UTC)","2083","5656","34079"
"Germany (DE)","03.01.2022 14:00 - 03.01.2022 14:15 (UTC)","1594","5656","33564"
"Germany (DE)","03.01.2022 14:15 - 03.01.2022 14:30 (UTC)","1167","5652","32918"
"Germany (DE)","03.01.2022 14:30 - 03.01.2022 14:45 (UTC)","777","5647","32683"
"Germany (DE)","03.01.2022 14:45 - 03.01.2022 15:00 (UTC)","422","5651","32888"
"Germany (DE)","03.01.2022 15:00 - 03.01.2022 15:15 (UTC)","164","5655","33062"
"Germany (DE)","03.01.2022 15:15 - 03.01.2022 15:30 (UTC)","39","5659","32757"
"Germany (DE)","03.01.2022 15:30 - 03.01.2022 15:45 (UTC)","4","5659","32388"
"Germany (DE)","03.01.2022 15:45 - 03.01.2022 16:00 (UTC)","1","5653","32194"
"Germany (DE)","03.01.2022 16:00 - 03.01.2022 16:15 (UTC)","0","5639","32149"
"Germany (DE)","03.01.2022 16:15 - 03.01.2022 16:30 (UTC)","0","5653","32148"
